category_id/id,factor,rounding,uom_type,id,name
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,3b89795c-a004-4748-b916-bf81e95b792e,Flacon de 50ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,935819ff-0126-4e64-b7ff-1948a5c7317e,Flacon de 10ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,8d2d23f3-c6c4-4c8d-9567-5d385ea936e4,Flacon de 3ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,3b10054a-3ccb-47ee-82d8-d545822ea328,Flacon de 240ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,e7445030-1136-41e3-8745-72ac9b03a2df,Flacon de 120ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,0a98a3e6-3a77-4a24-9839-2827d38a6a31,Flacon de 30ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,ee54972c-e732-407d-95b3-d2b559208373,Flacon de 100ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,ac501594-d99a-42e9-a713-08d1f8ca1cef,Flacon de 60ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,0ba46518-b728-4dc5-ba66-1cecfa4d2463,Flacon de 15ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,6572ac35-ee5b-406b-81b8-8ca116b66d08,Flacon de 500ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,79aa858b-9bb0-425d-b773-ea5d7b713414,Flacon de 200doses
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,3920f95e-7ee3-4b48-a8f3-4cdb695fe261,Flacon de 200ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,69cc6ecc-48fa-4d49-b171-4764ef28f941,Flacon de 240ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,9ad20c26-b8f8-4e47-a4fc-7f81e63ec1e8,Flacon de 250ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,61809dab-d60c-4f3a-9f0a-d33c7c7f1925,Flacon de 30ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,cb4fa1ec-f518-4cc2-94b0-bb29dd67a505,Flacon de 50ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,50ea6656-4976-401d-bcde-4b617fe2bccd,Flacon de 5ml
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,d7218e57-1380-43f6-bd39-2df185ec53d2,Vial
uom.product_uom_categ_kgm,1,0.01,Smaller than the reference Unit of Measure,26b3d389-6e89-484b-8ed8-52e954ae9e22,Paquet de 5lbs
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,f5076686-b72b-401c-b900-c9b354cba0f3,Vial de 10ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,2bc10ae1-193b-4d56-b8fc-4e7b3e20f849,Vial de 2ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,e7225b6a-332a-40fe-bd8e-646c30c5944a,Vial de 20ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,b11bb064-5e6a-4c67-81ab-8cf36e4cefdf,Vial de 4ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,a1fc4c79-93db-4633-add1-f7b44eb5fd47,Vial de 50ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,1049cf2c-3aa5-417a-a848-ddbccb8da893,Vial de 5ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,7e0f853e-8d3c-4bd2-95f9-2a10bda56059,Vial de 1ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,1d7d01e6-32fd-4037-941b-736060c2a825,1 dose de 0.1ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,cd2ed16e-8d4b-4bef-a419-11c9574ea560,Amp de 10ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,63539063-4c65-49af-8154-c102bab9b890,Amp de 2ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,a1b6d6af-a056-4a6d-ac23-78aca2ae892b,Amp de 3ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,8fc3062b-3368-4fdf-bd7c-13ef0aaaed8f,Amp de 4ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,997f5876-160d-483d-877a-133329242217,Amp de 5ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,03ccb8c1-f683-4e6c-8e9b-5c07101cfe34,Amp de 1ml
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,0f9146e4-b0d6-44a6-9444-480ed532d9f7,Amp de 2ml
uom.product_uom_categ_kgm,1,0.01,Smaller than the reference Unit of Measure,c1ab30fa-f02b-432f-9f0e-62ff7fa09ac7,Seringue de 0.4ml
uom.product_uom_categ_kgm,1,0.01,Smaller than the reference Unit of Measure,23441b9b-947c-49a8-babf-75e55a82f6db,Tube de 20g
uom.product_uom_categ_kgm,1,0.01,Smaller than the reference Unit of Measure,c8eb9e8f-f51d-4a8f-9e3a-cdc13005aace,Tube de 30g
uom.product_uom_categ_kgm,1,0.01,Smaller than the reference Unit of Measure,e6e952d5-4051-4d4b-9733-1a974b266273,Tube de 50g
uom.product_uom_categ_kgm,1,0.01,Smaller than the reference Unit of Measure,50aca11f-0c3d-4651-a507-334bd68a4abf,Tube de 1g
uom.product_uom_categ_kgm,1,0.01,Smaller than the reference Unit of Measure,6edd6ede-a608-4d41-830e-e4780984f442,Tube de 3g
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,3cbac683-bb0c-49d2-b6bf-007022c73ec1,55GAL
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,191e8434-6087-4b8c-b30c-0fa01cd53ccb,GAL
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,52fa9052-ac12-439c-a4de-662a37299a42,Bocal de 200g
uom.product_uom_categ_unit,1,0.01,Bigger than the reference Unit of Measure,dc10faa8-bca0-4d77-bf77-5102209eed7b,Bocal de 500g
uom.product_uom_categ_unit,1,0.01,Smaller than the reference Unit of Measure,36fcc0f7-dd52-404b-837e-d1a9c06abc45,Boite de 400g
