id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_qty,bom_line_ids/product_uom_id/id,product_tmpl_id/id,product_uom_id/id,product_qty
init.4b7e391c-385c-4151-b9af-11ed617c9cd8,init.0e5234fb-a405-4962-9b36-1e4be9c0bfff,init.0a0bb6ee-30d7-464e-af89-2833e9e27eae,1,init.d5c0ef0b-98d9-412f-967e-e1150db9c796,init.3d3593c6-64af-4046-891b-260c03b6fcfb_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,3
init.a04e1a4b-e8df-4fc5-bd85-8dd54c1a87fa,init.5ec4db42-4974-4584-94c5-6910bb9c1c8b,init.f51c7591-a595-40f9-ba03-e68d793c6b05,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.cd83e9cb-9e39-4e03-b940-4d77a8bec359_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,50
init.7ca1c506-4073-4f9c-b4dd-1f355057e069,init.7de8c308-3988-43ea-8d99-402eea2357b5,init.66a6196f-9212-49d1-9926-010a48ce743e,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.edef1db4-393d-487e-9c10-3aea618094bb_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,50
init.73072ee9-4a7a-4362-9651-87ce6cae2365,init.2fc7de90-8a47-42c9-8a7c-a2984c55ff88,init.58a72cf9-1228-4d86-8ee2-31846eee2944,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.345a7350-e076-474b-b4c2-8cb663c91e18_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.37367832-be09-413d-8849-f53eb27ef3a5,init.7788685d-d3f9-435f-8232-9bcf55d40221,init.6f7daa5b-8009-4aa1-a7b8-d4a525d11252,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.e6f49e70-b925-44a3-9d65-71a62a2d8a04_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.8750bbf5-717a-463a-b965-e1acf08822a2,init.facb7401-95f1-4cb2-b542-66f995cf60ab,init.07545454-0d38-4672-93f7-7e603bb52cce,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.9519a3fd-647d-4cf9-8ce5-b8000dd13e39_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.5a3fa2b5-de61-40f7-877c-922130a9f3c0,init.81677b92-0bc3-494f-8ab0-1327692a47ca,init.3e594b9b-f0f9-4e9c-b8b8-2bc418a2e136,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.d7bef4b0-c8ca-4c44-9fe2-499acd893acb_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.b47f497b-c86a-46f8-a9b5-5f06b518e223,init.8686a76a-277f-423f-b775-f88a4ba0f3ee,init.a1498240-79fb-4005-a060-f53d2e61f5ac,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.af3f9ca4-37c5-404d-9c9b-b22b0584ed94_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.b6ea9a3d-45fe-4fbf-8712-f37aefe333d6,init.b5640ad1-5d53-4ec7-96d4-2499dfd0f759,init.b7cf504b-1298-4698-9206-f4eb061cea67,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.8dc9fcdc-b295-4c2f-ad4a-cc7328612cb9_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.48627ecd-4c99-4309-890f-0e64bc65914e,init.5ef1815c-c68d-4e57-858c-5696d3364b31,init.760f670c-a37b-438d-81d7-8c6be7c67b96,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.cf63a9b7-565e-4f44-9288-e120b4d3d589_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.c952a16b-c31a-4c2a-9304-5d73c1a456b3,init.d431e863-1da8-4a85-b934-56e13c0f089a,init.ec47eb59-f6a4-4136-942a-65ac581b4674,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.df0139c4-ae5d-48a6-aa94-2495e6653834_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
