"id","name","code","lot_stock_id/id","partner_id/id"
"init.warehouse0","Pharmacy","PHARM","init.6299466b-05bb-4cba-9acb-ba9b6d8020fd","base.main_partner"
"init.warehouse2","Warehouse","WAREH","init.46ab00a2-3e82-41ab-843b-47caaa8545ab","base.main_partner"
